iter	Passed	Remaining
1453	2408	7530
1454	2410	7528
1455	2411	7526
1456	2413	7524
1457	2414	7522
1458	2416	7520
1459	2417	7518
1460	2419	7516
1461	2421	7514
1462	2422	7512
1463	2424	7511
1464	2425	7509
1465	2427	7507
1466	2429	7505
1467	2430	7503
1468	2432	7502
1469	2434	7500
1470	2435	7499
1471	2437	7497
1472	2438	7495
1473	2440	7493
1474	2442	7492
1475	2443	7490
1476	2445	7488
1477	2446	7486
1478	2448	7484
1479	2449	7482
1480	2451	7480
1481	2453	7478
1482	2454	7476
1483	2456	7475
1484	2457	7473
1485	2459	7471
1486	2461	7469
1487	2462	7467
1488	2464	7465
1489	2465	7463
1490	2467	7461
1491	2468	7459
1492	2470	7458
1493	2472	7456
1494	2473	7454
1495	2475	7452
1496	2476	7450
1497	2478	7449
1498	2480	7447
1499	2481	7445
1500	2483	7443
1501	2484	7441
1502	2486	7439
1503	2487	7436
1504	2489	7434
1505	2490	7432
1506	2492	7430
1507	2493	7428
1508	2495	7426
1509	2496	7424
1510	2498	7422
1511	2499	7420
1512	2501	7418
1513	2502	7416
1514	2504	7414
1515	2506	7412
1516	2507	7411
1517	2509	7409
1518	2511	7409
1519	2513	7407
1520	2514	7405
1521	2516	7403
1522	2517	7401
1523	2519	7399
1524	2520	7397
1525	2522	7395
1526	2524	7393
1527	2525	7391
1528	2527	7390
1529	2528	7388
1530	2530	7386
1531	2532	7384
1532	2533	7382
1533	2535	7381
1534	2536	7379
1535	2538	7377
1536	2540	7375
1537	2541	7373
1538	2543	7371
1539	2544	7370
1540	2546	7368
1541	2548	7366
1542	2549	7364
1543	2551	7363
1544	2552	7361
1545	2554	7359
1546	2556	7357
1547	2558	7356
1548	2559	7355
1549	2561	7353
1550	2562	7351
1551	2564	7349
1552	2567	7350
1553	2568	7349
1554	2570	7347
1555	2572	7346
1556	2573	7344
1557	2575	7342
1558	2576	7340
1559	2578	7338
1560	2579	7336
1561	2581	7334
1562	2583	7332
1563	2584	7331
1564	2586	7329
1565	2587	7327
1566	2589	7325
1567	2590	7323
1568	2592	7321
1569	2594	7319
1570	2595	7317
1571	2597	7315
1572	2598	7313
1573	2600	7311
1574	2602	7310
1575	2603	7308
1576	2605	7306
1577	2606	7304
1578	2608	7303
1579	2609	7301
1580	2611	7299
1581	2613	7297
1582	2614	7295
1583	2616	7293
1584	2617	7291
1585	2619	7289
1586	2620	7287
1587	2622	7286
1588	2623	7284
1589	2625	7282
1590	2627	7280
1591	2628	7278
1592	2630	7276
1593	2631	7274
1594	2633	7272
1595	2634	7269
1596	2636	7267
1597	2637	7266
1598	2639	7264
1599	2640	7262
1600	2642	7260
1601	2643	7258
1602	2645	7256
1603	2647	7254
1604	2648	7252
1605	2650	7250
1606	2651	7249
1607	2653	7247
1608	2654	7245
1609	2656	7243
1610	2657	7241
1611	2659	7239
1612	2661	7237
1613	2662	7235
1614	2664	7233
1615	2665	7231
1616	2667	7229
1617	2669	7229
1618	2670	7227
1619	2672	7225
1620	2673	7223
1621	2675	7221
1622	2676	7219
